Cislo,C15,1;nazev,C50,2;PCA,N11/3,3$
R11-W;Kostra křesla - pevné wenge;1050.000;
R12-S;Kostra křeslo pohup.oblouk bříza;1050.000;
R13-S;Kostra křeslo pohup.oblé s vlnou bříza;1050.000;
R14-S;Kostra křeslo pohup. bříza;1050.000;
R17-DS-1301;Křeslo pohupovací;1627.500;
R17-DS-2313;Křeslo pohupovací;1627.500;
C146-CEF-P;Skříň policová pravá CASPER;2640.000;
R17-H-11;Křeslo pohupovací;1627.500;
R51-T-711;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R17-H-132;Křeslo pohupovací;1627.500;
R-navleky-2325A;Návleky na pohupovací křesla+ 8 cm delší;80.000;
R17-H-2301;Křeslo pohupovací;1627.500;
R17-H-2328;Křeslo pohupovací;1627.500;
R23-ATYP-726;sedák křesla látka 726 bíle prošití;1450.000;
R17-H-724;Křeslo pohupovací;1627.500;
R17-H-K44;Křeslo pohupovací;1627.500;
R17-L-1306;Křeslo pohupovací;1627.500;
R17-L-14;Křeslo pohupovací;1627.500;
R17-L-2054;Křeslo pohupovací;1627.500;
R17-L-2327;Křeslo pohupovací;1627.500;
R17-L-37;Křeslo pohupovací;1627.500;
R17-L-723;Křeslo pohupovací;1627.500;
R17-M-04;Křeslo pohupovací;1627.500;
R17-M-136;Křeslo pohupovací;1627.500;
R17-M-244;Křeslo pohupovací;1627.500;
R17-M-731;Křeslo pohupovací;1627.500;
R17-P-104;Křeslo pohupovací;1627.500;
R17-P-118;Křeslo pohupovací;1627.500;
R17-P-1304;Křeslo pohupovací;1627.500;
R17-P-137;Křeslo pohupovací;1627.500;
R17-P-2304;Křeslo pohupovací;1627.500;
R17-P-2332;Křeslo pohupovací;1627.500;
R17-P-721;Křeslo pohupovací;1627.500;
R17-S-105;Křeslo pohupovací;1627.500;
R17-S-2328;Křeslo pohupovací;1627.500;
R17-T-04;Křeslo pohupovací;1627.500;
R17-T-130;Křeslo pohupovací;1627.500;
R17-T-136;Křeslo pohupovací;1627.500;
R17-T-707;Křeslo pohupovací;1627.500;
R17-W-120;Křeslo pohupovací;1627.500;
R17-W-2058;Křeslo pohupovací;1627.500;
R17-W-26;Křeslo pohupovací;1627.500;
R18-DS-1306;Křeslo;2572.500;
R18-H-1304;Křeslo;2572.500;
R18-H-2301;Křeslo;2572.500;
R18-H-716C;Křeslo;2572.500;
R18-L-116;Křeslo;2572.500;
R18-L-1303;Křeslo;2572.500;
R18-L-14;Křeslo;2572.500;
R18-L-2054;Křeslo;2572.500;
R18-L-233;Křeslo;2572.500;
R18-L-41;Křeslo;2572.500;
R18-L-ATYP;Křeslo vlastní látka;2572.500;
R18-M-2325;Křeslo;2572.500;
R18-P-05;Křeslo;2572.500;
R18-P-1302;Křeslo;2572.500;
R18-P-2082;Křeslo;2572.500;
R18-P-25;Křeslo;2572.500;
R18-P-41;Křeslo;2572.500;
R18-P-K1210;Křeslo;2572.500;
R18-T-02;Křeslo;2572.500;
R18-T-112;Křeslo;2572.500;
R18-T-130;Křeslo;2572.500;
R18-W-2332;Křeslo;2572.500;
R19-1309;Sedák polohovací;1489.950;
R19-139;Sedák polohovací;1489.950;
R19-221;Sedák polohovací;1489.950;
R19-2306;Sedák polohovací;1489.950;
R19-2325;Sedák polohovací;1489.950;
R19-243;Sedák polohovací;1489.950;
R19-4082C;Sedák polohovací;1699.950;
R19-4360C;Sedák polohovací;1699.950;
R19-722;Sedák polohovací;1489.950;
R19-864C;Sedák polohovací;1699.950;
A85-R;Pohovka LEON rozkládací-postel, růžová;1206.000;
A85-O;Pohovka LEON rozkládací-postel, oranžová;1206.000;
R19-H-1304;Polohovací křeslo pohupovací;2929.500;
A85-Z;Pohovka LEON rozkládací-postel, zelená;1206.000;
R19-H-2304;Polohovací křeslo pohupovací;2929.500;
A85-F;Pohovka LEON rozkládací-postel, fialová;1206.000;
R19-L-03;Polohovací křeslo pohupovací;2929.500;
A85-CV;Pohovka LEON rozklád.postel, červená;1206.000;
R19-L-138;Polohovací křeslo pohupovací;2929.500;
R19-M-2304;Polohovací křeslo pohupovací;2929.500;
C124-CEZ;Skříň velká / obličej CASPER;5300.000;
R21-H-04;Podnožka;593.250;
R19-P-1341;Polohovací křeslo pohupovací;2929.500;
P250-2333-W;Trojkřeslo rozkládací ANTONY;9090.000;
A250-223-2323-P;Sedací souprava BONDY;12086.000;
A40-223-2323;Taburet univerzální nožky k A63;1003.000;
P016-2506-2333;Pohovka PARMA;7708.000;
P015-2506-2333;Pohovka PARMA;4268.000;
R19-T-130;Polohovací křeslo pohupovací;2929.500;
ZK-ATYP;kancelářská židle - použitá;0.000;
RUS-SKT-007;taburet - skládací;0.000;
RUS-HT2791G;ratanový svícen;0.000;
R20-DS-2051;Křeslo polohovací;2929.500;
Z22-P-Atyp;Židle LINDA vlastní látka;934.500;
R51-H-2324;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R20-H-132;Křeslo polohovací;2929.500;
R51-P-342;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R20-H-2311;Křeslo polohovací;2929.500;
R20-H-34;Křeslo polohovací;2929.500;
R20-HE-1304;Křeslo polohovací;2929.500;
R21-P-342;Podnožka;593.250;
R20-L-1308;Křeslo polohovací;2929.500;
R20-L-2326;Křeslo polohovací;2929.500;
R20-L-K43;Křeslo polohovací;2929.500;
R20-M-716C;Křeslo polohovací;2929.500;
R51-L-2057;Křeslo pohupovací,kostra pohup.pevné;2243.250;
A71-2059-1302-P;Sedačka rozkl., úložný prostor     /2ks/;10703.000;
R20-P-1307;Křeslo polohovací;2929.500;
R20-P-139;Křeslo polohovací;2929.500;
R20-P-2082;Křeslo polohovací;2929.500;
R51-M-1302;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R30-1300;Sedák křesla;943.950;
R20-S-32;Křeslo polohovací;2929.500;
R30-CH-1300;Křeslo chromové;2089.500;
Z133-P-2053;Židle JOKO čalouněná;1814.050;
R20-T-133;Křeslo polohovací;2929.500;
Z118-W-721;Židle buková IVONA;1333.500;
R20-T-722;Křeslo polohovací;2929.500;
R20-W-2322;Křeslo polohovací;2929.500;
R21-1309;Sedák podnožky;189.000;
R21-2080;Sedák podnožky;189.000;
R21-2302;Sedák podnožky;189.000;
R21-232;Sedák podnožky;189.000;
R21-2334;Sedák podnožky;189.000;
R21-2506;Sedák podnožky palermo 2505;189.000;
R21-4084C;Sedák podnožky;241.500;
R21-705;Sedák podnožky;189.000;
R21-726;Sedák podnožky;189.000;
R21-C;Kostra podnožky;472.500;
R21-DS-1304;Podnožka;593.250;
R21-DS-2328;Podnožka;593.250;
R21-H-02;Podnožka;593.250;
R21-H-1307;Podnožka;593.250;
R21-H-229;Podnožka;593.250;
R21-H-2331;Podnožka;593.250;
R21-HE-2321;Podnožka;593.250;
R21-L-1308;Podnožka;593.250;
R21-L-2312;Podnožka;593.250;
R21-L-2501;Podnožka;593.250;
R21-L-44;Podnožka;593.250;
R21-M;Kostra podnožky;472.500;
R21-M-1344;Podnožka;593.250;
R21-M-4086C;Podnožka;593.250;
R21-P-1305;Podnožka;593.250;
R21-P-2053;Podnožka;593.250;
R21-P-2323;Podnožka;593.250;
R21-P-44;Podnožka;593.250;
R21-P-864C;Podnožka;593.250;
R21-S-1305;Podnožka;593.250;
R21-S-2321;Podnožka;593.250;
R21-T-1302;Podnožka;593.250;
R21-T-139;Podnožka;593.250;
R21-T-2322;Podnožka;593.250;
R21-T-ATYP;Podnožka;593.250;
R21-W-136;Podnožka;593.250;
R21-W-705;Podnožka;593.250;
R22-02;Sedák křesla;489.300;
R22-130;Sedák křesla;489.300;
R22-1310;Sedák křesla 1310;489.300;
R22-2082;Sedák křesla;489.300;
R22-2305;Sedák křesla;489.300;
R22-2324;Sedák křesla;489.300;
R22-4083C;Sedák křesla;699.300;
R22-4352C;Sedák křesla;699.300;
R22-721;Sedák křesla;489.300;
R22-861C;Sedák křesla;699.300;
R22-DS-132;Křeslo pohupovací;1627.500;
R22-DS-725;Křeslo pohupovací;1627.500;
R22-H-106;Křeslo pohupovací;1627.500;
R22-H-12;Křeslo pohupovací;1627.500;
R22-H-1307;Křeslo pohupovací;1627.500;
R22-H-140;Křeslo pohupovací;1627.500;
R22-H-2053;Křeslo pohupovací;1627.500;
R22-H-24;Křeslo pohupovací;1627.500;
R22-H-41;Křeslo pohupovací;1627.500;
R22-L-109;Křeslo pohupovací;1627.500;
R22-L-122;Křeslo pohupovací;1627.500;
R22-L-1310;Křeslo pohupovací;1627.500;
R22-L-144;Křeslo pohupovací;1627.500;
R22-L-2312;Křeslo pohupovací;1627.500;
R22-L-33;Křeslo pohupovací;1627.500;
R22-L-721;Křeslo pohupovací;1627.500;
R22-M-222;Křeslo pohupovací;1627.500;
R22-P-03;Křeslo pohupovací;1627.500;
R22-P-111;Křeslo pohupovací;1627.500;
R22-P-125;Křeslo pohupovací;1627.500;
R22-P-132;Křeslo pohupovací;1627.500;
R22-P-145;Křeslo pohupovací;1627.500;
R22-P-2301;Křeslo pohupovací;1627.500;
R22-P-24;Křeslo pohupovací;1627.500;
R22-P-4084C;Křeslo pohupovací;1627.500;
R22-P-722;Křeslo pohupovací;1627.500;
R22-S-106;Křeslo pohupovací;1627.500;
R22-S-2330;Křeslo pohupovací;1627.500;
R22-T-03;Křeslo pohupovací;1627.500;
R22-T-111;Křeslo pohupovací;1627.500;
R22-T-125;Křeslo pohupovací;1627.500;
R22-T-14;Křeslo pohupovací;1627.500;
R22-T-2329;Křeslo pohupovací;1627.500;
R22-T-40;Křeslo pohupovací;1627.500;
R22-W-2056;Křeslo pohupovací;1627.500;
R22-W-4301C;Křeslo pohupovací;1627.500;
R23-130;Sedák křesla;1522.500;
R23-137;Sedák křesla;1522.500;
R23-2055;Sedák křesla;1522.500;
R23-226;Sedák křesla;1522.500;
R23-2310;Sedák křesla;1522.500;
R23-2326;Sedák křesla;1522.500;
R23-4084C;Sedák křesla;1732.500;
R23-4352C;Sedák křesla;1732.500;
R23-718C;Sedák křesla;1732.500;
R23-863C;Sedák křesla;1732.500;
R23-DS-139;Křeslo pohupovací;2572.500;
R23-H-02;Křeslo pohupovací;2572.500;
R23-H-112;Křeslo pohupovací;2572.500;
R23-H-13;Křeslo pohupovací;2572.500;
R23-H-1341;Křeslo pohupovací;2572.500;
R23-H-147;Křeslo pohupovací;2572.500;
R23-H-2321;Křeslo pohupovací;2572.500;
R23-H-728;Křeslo pohupovací;2572.500;
R23-CH-1308;Sedák křesla;1522.500;
R23-CH-2303;Sedák křesla;1522.500;
R23-CH-2322;Sedák křesla;1522.500;
R23-CH-ATYP;Sedák křesla vlastní látka;1522.500;
R23-L-1308;Křeslo pohupovací;2572.500;
R23-L-2054;Křeslo pohupovací;2572.500;
R23-L-2328;Křeslo pohupovací;2572.500;
R23-M-133;Křeslo pohupovací;2572.500;
R23-M-41;Křeslo pohupovací;2572.500;
R23-P-12;Křeslo pohupovací;2572.500;
R23-P-1306;Křeslo pohupovací;2572.500;
R23-P-140;Křeslo pohupovací;2572.500;
R23-P-2055;Křeslo pohupovací;2572.500;
R23-P-2325;Křeslo pohupovací;2572.500;
R23-P-341;Křeslo pohupovací;2572.500;
R23-P-716C;Křeslo pohupovací;2572.500;
R23-S-1302;Křeslo pohupovací;2572.500;
R23-T-01;Křeslo pohupovací;2572.500;
R23-T-110;Křeslo pohupovací;2572.500;
R23-T-124;Křeslo pohupovací;2572.500;
R23-T-136;Křeslo pohupovací;2572.500;
R23-T-15;Křeslo pohupovací;2572.500;
R23-T-32;Křeslo pohupovací;2572.500;
R23-T-722;Křeslo pohupovací;2572.500;
R23-W-2316;Křeslo pohupovací;2572.500;
R23-W-864C;Křeslo pohupovací;2572.500;
R24-DS-725;Houpací křeslo;3139.500;
R24-H-1303;Houpací křeslo;3139.500;
R24-H-16;Houpací křeslo;3139.500;
R24-H-34;Houpací křeslo;3139.500;
R24-L-02;Houpací křeslo;3139.500;
R24-L-121;Houpací křeslo;3139.500;
R24-L-1344;Houpací křeslo;3139.500;
R24-L-2323;Houpací křeslo;3139.500;
R24-L-37;Houpací křeslo;3139.500;
R24-L-K40;Houpací křeslo;3139.500;
R24-M-2328;Houpací křeslo;3139.500;
R24-P-10;Houpací křeslo EKOkůže č.10;3139.500;
R24-P-1301;Houpací křeslo;3139.500;
R24-P-137;Houpací křeslo;3139.500;
R24-P-2325;Houpací křeslo;3139.500;
R24-P-39;Houpací křeslo;3139.500;
R24-P-723;Houpací křeslo;3139.500;
R24-T-02;Houpací křeslo;3139.500;
R24-T-121;Houpací křeslo;3139.500;
R24-T-14;Houpací křeslo;3139.500;
R24-T-41;Houpací křeslo;3139.500;
R24-W-2301;Houpací křeslo;3139.500;
R25-112;Sedák dvojkřesla;3045.000;
R25-1344;Sedák dvojkřesla;3045.000;
R25-2080;Sedák dvojkřesla;3045.000;
R25-2302;Sedák dvojkřesla;3045.000;
R25-232;Sedák dvojkřesla;3045.000;
R25-2334;Sedák dvojkřesla;3045.000;
R25-2506;Sedák dvojkřesla;3045.000;
R25-4089C;Sedák dvojkřesla;3517.500;
R25-711;Sedák dvojkřesla;3045.000;
R25-729;Sedák dvojkřesla;3045.000;
R25-H-05;Dvojkřeslo;5155.500;
R25-H-139;Dvojkřeslo;5155.500;
R25-L-01;Dvojkřeslo;5155.500;
R25-L-110;Dvojkřeslo;5155.500;
R25-L-124;Dvojkřeslo;5155.500;
R25-L-139;Dvojkřeslo;5155.500;
R25-L-24;Dvojkřeslo;5155.500;
R25-L-43;Dvojkřeslo;5155.500;
R25-P-102;Dvojkřeslo;5155.500;
R25-P-116;Dvojkřeslo;5155.500;
R25-P-1304;Dvojkřeslo;5155.500;
R25-P-143;Dvojkřeslo;5155.500;
R25-P-32;Dvojkřeslo;5155.500;
R25-S-01;Dvojkřeslo;5155.500;
R25-T-131;Dvojkřeslo;5155.500;
R25-T-33;Dvojkřeslo;5155.500;
R25-W-1304;Dvojkřeslo;5155.500;
R26-1310;Sedák trojkřesla;4798.500;
R26-2321;Sedák trojkřesla;4798.500;
R26-2334;Sedák trojkřesla;4798.500;
R26-724;Sedák trojkřesla;4798.500;
R26-DB-1300;Trojkřeslo;7738.500;
R26-H-115;Trojkřeslo;7738.500;
R26-H-131;Trojkřeslo;7738.500;
R26-H-143;Trojkřeslo;7738.500;
R26-H-32;Trojkřeslo;7738.500;
R26-L;Kostra trojkřesla - olše;2940.000;
R26-L-109;Trojkřeslo;7738.500;
R26-L-122;Trojkřeslo;7738.500;
R26-L-138;Trojkřeslo;7738.500;
R26-L-2323;Trojkřeslo;7738.500;
R26-L-38;Trojkřeslo;7738.500;
R26-P-01;Trojkřeslo;7738.500;
R26-P-110;Trojkřeslo;7738.500;
R26-P-124;Trojkřeslo;7738.500;
R26-P-137;Trojkřeslo;7738.500;
R26-P-2055;Trojkřeslo;7738.500;
R26-P-4084C;Trojkřeslo;7738.500;
R26-T-03;Trojkřeslo;7738.500;
R26-T-112;Trojkřeslo;7738.500;
R26-T-13;Trojkřeslo;7738.500;
R26-T-142;Trojkřeslo;7738.500;
R26-T-27;Trojkřeslo;7738.500;
R26-W-1304;Trojkřeslo;7738.500;
R27-1304;Sedák křesla s prošitým okrajem;1627.500;
R27-1354;Sedák křesla s prošitým okrajem;1627.500;
R27-2081;Sedák křesla s prošitým okrajem;1627.500;
R27-2302;Sedák křesla s prošitým okrajem;1627.500;
R27-2316;Sedák křesla s prošitým okrajem;1627.500;
R27-2332;Sedák křesla s prošitým okrajem;1627.500;
R27-2504;Sedák křesla s prošitým okrajem;1627.500;
R27-4085C;Sedák křesla s prošitým okrajem;1837.500;
R27-4362C;Sedák křesla s prošitým okrajem;1837.500;
R27-726;Sedák křesla s prošitým okrajem;1627.500;
R27-DS-727;Křeslo pohupovací;2623.950;
R27-L-1304;Křeslo pohupovací;2623.950;
R27-P-130;Křeslo pohupovací;2623.950;
R27-T-1307;Křeslo pohupovací;2623.950;
R28-M-03;Křeslo pohupovací;2623.950;
R28-P-730;Křeslo pohupovací;2623.950;
R28-W-715C;Křeslo pohupovací;2623.950;
R29-1305;Sedák křesla;577.500;
R29-2050;Sedák křesla;577.500;
R29-222;Sedák křesla;577.500;
R29-2307;Sedák křesla;577.500;
R29-2325;Sedák křesla;577.500;
R29-238;Sedák křesla;577.500;
R29-342;Sedák křesla;577.500;
R29-4300C;Sedák křesla;787.500;
R29-ATYP;Sedák křesla;409.500;
R29-CH-109;Křeslo chromové;1564.500;
R29-CH-122;Křeslo chromové;1564.500;
R29-CH-134;Křeslo chromové;1564.500;
R29-CH-146;Křeslo chromové;1564.500;
R29-CH-2325;Křeslo chromové;1564.500;
R29-CH-35;Křeslo chromové;1564.500;
R29-CH-716C;Křeslo chromové;1564.500;
R30-1303;Sedák křesla;943.950;
R30-222;Sedák křesla;943.950;
R30-2315;Sedák křesla;943.950;
R30-2332;Sedák křesla;943.950;
R30-2503;Sedák křesla;943.950;
R30-4083C;Sedák křesla;1153.950;
R30-4361C;Sedák křesla;1153.950;
R30-726;Sedák křesla;943.950;
R30-CH-10;Křeslo chromové;2089.500;
R30-CH-114;Křeslo chromové;2089.500;
R30-CH-1301;Křeslo chromové;2089.500;
R30-CH-137;Křeslo chromové;2089.500;
R30-CH-16;Křeslo chromové;2089.500;
R30-CH-2305;Křeslo chromové;2089.500;
R30-CH-2331;Křeslo chromové;2089.500;
R30-CH-27;Křeslo chromové;2089.500;
R30-CH-41;Křeslo chromové;2089.500;
R30-CH-722;Křeslo chromové;2089.500;
R31-CH-03;Křeslo chromové;1564.500;
R31-CH-118;Křeslo chromové;1564.500;
R31-CH-1307;Křeslo chromové;1564.500;
R31-CH-143;Křeslo chromové;1564.500;
R31-CH-25;Křeslo chromové;1564.500;
R31-CH-40;Křeslo chromové;1564.500;
R32-CH-03;Křeslo chromové;2089.500;
R32-CH-112;Křeslo chromové;2089.500;
R32-CH-13;Křeslo chromové;2089.500;
R32-CH-139;Křeslo chromové;2089.500;
R32-CH-226;Křeslo chromové;2089.500;
R32-CH-2504;Křeslo chromové;2089.500;
R32-CH-41;Křeslo chromové;2089.500;
R33-H-132;Křeslo houpací;3139.500;
R33-P-1302;Křeslo houpací;3139.500;
R34-DS-2303;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R34-H-2304;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R34-L-2325;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R34-P-133;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R34-S-115;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R34-W-15;Křeslo pohupovací,kostra pohup.oblá;1627.500;
R35-DS-1304;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-H-137;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-H-4302C;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-L-2324;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-M-2052;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-P-1305;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-P-35;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-S-2304;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R35-W-4302C;Křeslo pohupovací,kostra pohup.oblá;2572.500;
R36-P-724;Křeslo pohupovací,kostra pohup.oblá;2623.950;
R37-H-2333;Křeslo polohovací,kostra pohup.oblá;2929.500;
R37-M-2309;Křeslo polohovací,kostra pohup.oblá;2929.500;
R37-S-1341;Křeslo polohovací,kostra pohup.oblá;2929.500;
R38-H-01;Křeslo pohupovací,kostra pohup s vlnou;1627.500;
R38-L-220;Křeslo pohupovací,kostra pohup s vlnou;1627.500;
R38-P-710;Křeslo pohupovací,kostra pohup s vlnou;1627.500;
R38-W-726;Křeslo pohupovací,kostra pohup s vlnou;1627.500;
R39-H-2304;Křeslo pohupovací,kostra pohup.s vlnou;2572.500;
R39-L-2327;Křeslo pohupovací,kostra pohup.s vlnou;2572.500;
R39-P-1305;Křeslo pohupovací,kostra pohup.s vlnou;2572.500;
R39-T-1301;Křeslo pohupovací,kostra pohup.s vlnou;2572.500;
R40-L-1303;Křeslo polohovací,kostra pohup.s vlnou;2929.500;
R40-P-2055;Křeslo polohovací,kostra pohup.s vlnou;2929.500;
R41-DS-1344;Křeslo pohupovací,kostra pohup.s vlnou;2623.950;
R42-DS-229;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-H-1302;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-H-2324;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-L-132;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-M-1307;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-P-132;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-P-2328;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R42-T139;Křeslo pohupovací,kostra pohup.oblouk;1627.500;
R43-DS-2332;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-H-1310;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-H-2323;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-L-1300;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-L-2312;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-M-1301;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-P-130;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-P-2054;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-P-2324;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-S-1344;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R43-T-4302C;Křeslo polohovací,kostra pohup.oblá;2572.500;
R43-W-711;Křeslo pohupovací,kostra pohup.oblouk;2572.500;
R44-DS-726;Křeslo polohovací,kostra pohup.oblouk;2929.500;
R44-H-2323;Křeslo polohovací,kostra pohup.oblouk;2929.500;
R44-L-2058;Křeslo polohovací,kostra pohup.oblouk;2929.500;
R44-M-2304;Křeslo polohovací,kostra pohup.oblouk;2929.500;
R44-P-2052;Křeslo polohovací,kostra pohup.oblouk;2929.500;
R44-T-1301;Křeslo polohovací,kostra pohup.oblouk;2929.500;
R45-DS-2304;Křeslo pohupovací,kostra pohup.oblouk;2623.950;
R45-P-2324;Křeslo pohupovací,kostra pohup.oblouk;2623.950;
R46-1301;Sedák křesla k R11;489.300;
R46-135;Sedák křesla k R11;489.300;
R46-2058;Sedák křesla k R11;489.300;
R46-2302;Sedák křesla k R11;489.300;
R46-2322;Sedák křesla k R11;489.300;
R46-4082C;Sedák křesla k R11;699.300;
R46-4360C;Sedák křesla k R11;699.300;
R46-726;Sedák křesla k R11;489.300;
R46-H-1303;Křeslo pohupovací,kostra pohup.pevná;1627.500;
R46-L-133;Křeslo pohupovací,kostra pohup.pevná;1627.500;
R46-P-132;Křeslo pohupovací,kostra pohup.pevná;1627.500;
R46-T-4362C;Křeslo pohupovací,kostra pohup.pevná;1627.500;
R47-1302;Sedák křesla k R11;1522.500;
R47-1354;Sedák křesla k R11;1522.500;
R47-2080;Sedák křesla k R11;1522.500;
R47-2302;Sedák křesla k R11;1522.500;
R47-232;Sedák křesla k R11;1522.500;
R47-238;Sedák křesla k R11;1522.500;
R47-4086C;Sedák křesla k R11;1732.500;
R47-707;Sedák křesla k R11;1522.500;
R47-728;Sedák křesla k R11;1522.500;
R47-DS-04;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-H-130;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-H-2327;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-L-1304;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-M-1302;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-P-1304-ATYP;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-P-2304;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R47-S-04;Křeslo pohupovací,kostra pohup.pevná;2572.500;
R48-02;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-1310;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-2052;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-223;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-2307;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-2324;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-236;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-340;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-4090C;Sedák křesla s prošitým okrajem k R11;1837.500;
R48-712;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-730;Sedák křesla s prošitým okrajem k R11;1627.500;
R48-L-134;Křeslo pohupovací,kostra pohup.pevné;2623.950;
R49-P-133;Křeslo chromové, područky přírodní;2325.000;
R50-H-2326;Křeslo chromové,područky hnědá;1950.000;
R50-P-4085C;Křeslo chromové,područky přírodní;1950.000;
R51-DB-2332;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-DS-2326;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-H-133;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-L-1302;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-L-220;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-M-1303;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-P-1302;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-P-2301;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-P-717C;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R51-W-1309;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R52-DS-1341;Křeslo pohupovací,kostra pohup.pevné;2774.490;
R52-L-2325;Křeslo pohupovací,kostra pohup.pevné;2774.490;
R52-P-38;Křeslo pohupovací,kostra pohup.pevné;2774.490;
R52-W-2312;Křeslo pohupovací,kostra pohup.pevné;2774.490;
R90-P-23;Podnožka modrá;495.270;
